,maxx,i,j,q,orders_long,orders_short,alpha
3957,-1.1643848537446795,15,28,6,10,6,-9.315078829957436
10489,-1.3316281349441188,32,39,2,6,8,-9.321396944608832
2697,-1.553876117456343,12,21,19,8,4,-9.323256704738057
6149,-3.7338282650067542,21,23,13,2,3,-9.334570662516885
4062,-0.7779420036095487,15,33,16,12,12,-9.335304043314585
4548,-0.6671843745091838,16,39,8,12,16,-9.340581243128574
9018,-1.6985235578125237,28,36,13,4,7,-9.341879567968881
12065,-1.099384295668854,37,37,1,9,8,-9.34476651318526
4671,-1.4376808452522456,17,25,17,8,5,-9.344925494139597
3516,-1.3350234530844025,14,25,2,8,6,-9.345164171590817
3366,-0.5844413689750386,13,37,4,18,14,-9.351061903600618
7237,-9.351856119678583,24,20,18,1,1,-9.351856119678583
2357,-1.169726101042572,11,24,2,8,8,-9.357808808340575
8631,-1.7017582522220964,27,34,6,5,6,-9.35967038722153
3749,-0.6934625260852988,14,37,7,13,14,-9.361744102151533
3469,-1.8736843817183948,14,22,12,6,4,-9.368421908591975
5751,-2.6772060505060704,20,22,14,3,4,-9.370221176771246
2551,-0.694197801035004,11,34,6,14,13,-9.371670313972553
8963,-1.5624055281818756,28,33,15,4,8,-9.374433169091255
2752,-1.3396853290592905,12,24,17,9,5,-9.377797303415033
2674,-1.7053908898781673,12,20,15,8,3,-9.379649894329921
