,maxx,i,j,z1,z2,orders_long,orders_short,alpha
6005,5.846927324092555,0.45,0.3,0.01,0.045,1,16,49.69888225478671
659,2.3054495752773496,0.1,0.15000000000000002,0.025,0.04,36,7,49.567165868463015
810,0.9509617713087266,0.1,0.3,0.02,0.01,42,62,49.450012108053784
1433,1.6749995655862986,0.15000000000000002,0.3,0.030000000000000002,0.025,25,34,49.41248718479581
2612,8.225276628903567,0.25,0.15000000000000002,0.045,0.04,5,7,49.3516597734214
1851,3.3929039379894492,0.2,0.15000000000000002,0.02,0.030000000000000002,18,11,49.19710710084701
2565,3.5114663179477055,0.25,0.15000000000000002,0.02,0.015,10,18,49.16052845126788
1792,3.371366971572258,0.2,0.1,0.01,0.015,27,2,48.88482108779774
653,1.8364825093785602,0.1,0.15000000000000002,0.02,0.030000000000000002,42,11,48.66678649853184
573,0.9975004657897364,0.05,0.55,0.034999999999999996,0.01,27,70,48.378772590802214
673,0.9210501170537897,0.1,0.2,0.005,0.005,65,40,48.35513114532396
229,1.2531254878706721,0.05,0.3,0.034999999999999996,0.015,27,50,48.245331283020874
478,0.9636617066634999,0.05,0.5,0.02,0.015,45,55,48.18308533317499
1701,0.9719108028946168,0.15000000000000002,0.5,0.034999999999999996,0.005,19,80,48.109584743283534
2395,1.3944385947352695,0.2,0.5,0.025,0.015,14,55,48.1081315183668
1341,1.171981414083081,0.15000000000000002,0.25,0.005,0.025,53,29,48.05123797740632
113,1.4339863578146566,0.05,0.2,0.034999999999999996,0.005,27,40,48.03854298679099
780,1.214265951430428,0.1,0.25,0.045,0.005,24,55,47.9635050815019
2281,1.128077925698158,0.2,0.45,0.005,0.015,31,54,47.94331184217171
1202,1.0056508618421125,0.1,0.55,0.034999999999999996,0.01,25,70,47.76841593750034
358,1.108901557809172,0.05,0.4,0.030000000000000002,0.015,33,53,47.6827669857944
3163,1.2306483733942983,0.25,0.55,0.005,0.015,21,56,47.379962375680485
968,1.1412441290912378,0.1,0.4,0.025,0.02,36,47,47.36163135728637
883,0.8850176182188011,0.1,0.35000000000000003,0.02,0.01,42,65,47.34844257470586
902,1.1312636944977517,0.1,0.35000000000000003,0.030000000000000002,0.015,31,52,46.94744332165669
1967,1.090746452971082,0.2,0.25,0.005,0.005,31,55,46.90209747775653
298,1.1873645754951103,0.05,0.35000000000000003,0.034999999999999996,0.015,27,52,46.900900732056854
2775,1.0780185693248274,0.25,0.3,0.01,0.005,17,70,46.893807765629994
1193,0.9281769496015623,0.1,0.55,0.030000000000000002,0.01,31,70,46.8729359548789
1495,1.1559056466135185,0.15000000000000002,0.35000000000000003,0.025,0.015,29,52,46.814178687847495
4143,6.687232159696022,0.35000000000000003,0.15000000000000002,0.01,0.030000000000000002,3,11,46.81062511787215
2441,1.1554860007812504,0.2,0.55,0.005,0.02,31,50,46.79718303164064
687,1.0380310656106477,0.1,0.2,0.015,0.005,50,40,46.711397952479146
1502,0.9335202983354728,0.15000000000000002,0.35000000000000003,0.030000000000000002,0.005,25,75,46.67601491677364
2254,1.4775265159533468,0.2,0.4,0.034999999999999996,0.015,10,53,46.54208525253043
135,0.9297955362922029,0.05,0.25,0.005,0.025,71,29,46.489776814610146
2288,0.8770705399771345,0.2,0.45,0.01,0.005,27,79,46.48473861878813
1429,0.9773713935497714,0.15000000000000002,0.3,0.030000000000000002,0.005,25,70,46.425141193614145
2359,1.0741146376868098,0.2,0.5,0.005,0.015,31,55,46.18692942053282
1300,1.6779497885204002,0.15000000000000002,0.2,0.015,0.034999999999999996,40,15,46.14361918431101
2051,1.2987576632716542,0.2,0.3,0.01,0.02,27,44,46.105897046143724
1102,0.8235436895575349,0.1,0.5,0.02,0.01,42,69,45.706674770443186
1505,1.5208385145280885,0.15000000000000002,0.35000000000000003,0.030000000000000002,0.025,25,35,45.62515543584266
2636,2.7537668571063536,0.25,0.2,0.015,0.025,12,21,45.437153142254836
2859,1.4408590492839053,0.25,0.35000000000000003,0.01,0.02,17,46,45.38706005244302
1186,1.054423784942293,0.1,0.55,0.025,0.02,36,50,45.3402227525186
2366,0.8472464132535792,0.2,0.5,0.01,0.005,27,80,45.327683109066484
200,0.7870816950618352,0.05,0.3,0.02,0.005,45,70,45.25719746605552
